,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
83,300568,星源材质,0.17,-80.9,,2.61,,7136.34,-58.44,,08-15
84,000610,西安旅游,-0.08,233.05,,-2.23,,-1884.72,232.91,,08-15
85,000937,冀中能源,0.17,34.0,,2.94,,61284.79,34.0,,08-15
86,600455,博通股份,0.27,23.48,,10.55,,1661.86,23.47,,08-15
87,600773,西藏城投,0.06,0.0,,1.46,,5108.34,0.52,,08-15
88,002695,煌上煌,0.31,12.45,,7.09,,15754.92,12.25,,08-15
89,300201,海伦哲,-0.02,-347.22,,-1.79,,-1848.08,-345.22,,08-15
90,000701,厦门信达,-0.15,13.64,,-33.38,,665.75,34.35,,08-15
91,603009,北特科技,-0.01,-108.64,,-0.14,,-220.12,-108.68,,08-15
92,002835,同为股份,0.13,160.0,,4.26,,2973.94,161.5,,08-15
93,300030,阳普医疗,0.34,580.0,,11.85,,10532.67,541.76,,08-15
94,000732,泰禾集团,-0.64,-150.67,,-8.37,,-158159.38,-201.33,,08-15
95,000903,云内动力,0.08,12.0,,2.88,,16289.98,10.54,,08-15
96,002546,新联电子,0.08,-6.1,,2.13,,6382.54,-6.19,,08-15
97,300246,宝莱特,1.64,767.48,,36.9,,24001.78,767.6,,08-15
98,688568,中科星图,-0.04,33.33,,-2.36,,-675.42,19.47,,08-15
99,000037,深南电A,0.09,-325.0,,2.57,,5204.05,-305.83,,08-14
100,002175,*ST东网,-0.04,-15.25,,-18.81,,-2934.92,-15.16,,08-14
101,600446,金证股份,0.22,77.57,,9.51,,19203.82,79.1,,08-14
102,300199,翰宇药业,0.05,-37.5,,2.08,,4709.79,-38.57,,08-14
103,600173,卧龙地产,0.19,-40.51,,4.64,,13114.4,-41.76,,08-14
104,600696,ST岩石,0.01,-50.0,,1.62,,415.43,-43.75,,08-14
105,603637,镇海股份,0.13,30.0,,2.82,,2202.07,31.43,,08-14
106,603186,华正新材,0.44,22.22,,6.7,,5826.01,26.71,,08-14
107,600444,国机通用,0.12,20.0,,3.04,,1779.14,24.96,,08-14
108,603259,药明康德,0.75,15.38,,9.4,,171715.54,62.49,,08-14
109,000401,冀东水泥,0.67,-34.76,,7.14,,100062.42,-32.37,,08-14
110,000982,*ST中绒,0.0,-100.53,,0.67,,743.65,-101.29,,08-14
111,002920,德赛西威,0.42,121.05,,5.3,,22957.17,124.55,,08-14
112,300523,辰安科技,-0.01,-96.77,,-0.21,,-322.25,-95.45,,08-14
113,300709,精研科技,0.32,-42.86,,2.51,,3640.78,-25.65,,08-14
114,603997,继峰股份,-0.35,-294.44,,-8.33,,-35651.97,-409.56,,08-14
115,000822,山东海化,-0.15,-165.22,,-4.1,,-13436.85,-165.3,,08-14
116,600328,中盐化工,0.11,-76.55,,1.73,,10467.87,-50.27,10派1.4,08-14
117,688015,交控科技,0.55,103.7,,8.12,,8737.34,170.12,,08-14
118,688096,京源环保,0.26,4.0,,4.72,,2343.08,18.63,10派4,08-14
119,300551,古鳌科技,-0.06,56.25,,-2.0,,-1170.95,180.42,,08-14
120,688188,柏楚电子,1.4,-11.24,,6.35,,13998.3,18.33,,08-14
121,002175,*ST东网,-0.04,-15.25,,-18.81,,-2934.92,-15.16,,08-14
122,600446,金证股份,0.22,77.57,,9.51,,19203.82,79.1,,08-14
123,300199,翰宇药业,0.05,-37.5,,2.08,,4709.79,-38.57,,08-14
124,000037,深南电A,0.09,-325.0,,2.57,,5204.05,-305.83,,08-14
125,600173,卧龙地产,0.19,-40.51,,4.64,,13114.4,-41.76,,08-14
126,600696,ST岩石,0.01,-50.0,,1.62,,415.43,-43.75,,08-14
127,603637,镇海股份,0.13,30.0,,2.82,,2202.07,31.43,,08-14
128,603186,华正新材,0.44,22.22,,6.7,,5826.01,26.71,,08-14
129,600444,国机通用,0.12,20.0,,3.04,,1779.14,24.96,,08-14
130,603259,药明康德,0.75,15.38,,9.4,,171715.54,62.49,,08-14
131,002920,德赛西威,0.42,121.05,,5.3,,22957.17,124.55,,08-14
132,300523,辰安科技,-0.01,-96.77,,-0.21,,-322.25,-95.45,,08-14
133,000401,冀东水泥,0.67,-34.76,,7.14,,100062.42,-32.37,,08-14
134,000982,*ST中绒,0.0,-100.53,,0.67,,743.65,-101.29,,08-14
135,600050,中国联通,0.11,11.34,,2.26,,334421.78,10.89,,08-13
136,603056,德邦股份,0.16,45.45,,3.75,,15466.85,46.61,,08-13
137,000920,南方汇通,0.07,-47.6,,2.42,,2765.18,-47.53,,08-13
138,600976,健民集团,0.37,2.78,,4.65,,5719.66,2.22,,08-13
139,300397,天和防务,0.14,-22.22,,5.35,,6250.35,41.81,,08-13
140,002662,京威股份,0.06,-150.0,,3.11,,9649.15,-154.73,,08-13
141,002967,广电计量,-0.09,-175.0,,-3.32,,-4937.63,-262.58,,08-13
142,603938,三孚股份,0.25,-39.02,,3.19,,3698.24,-39.98,,08-13
143,688357,建龙微纳,0.88,-22.81,,5.69,,5078.02,2.51,,08-13
144,000812,陕西金叶,0.02,-518.42,,0.84,,1225.58,-520.6,,08-13
145,002938,鹏鼎控股,0.34,30.77,,3.98,,79162.12,29.92,,08-13
146,603733,仙鹤股份,0.46,119.05,,7.15,,28243.05,116.0,,08-13
147,601211,国泰君安,0.58,7.41,,4.16,,545371.25,8.64,,08-13
148,000737,ST南风,0.17,1361.54,,21.08,,9383.36,1355.85,,08-13
149,300225,金力泰,0.03,-5.51,,1.67,,1535.6,-5.36,,08-13
150,600423,ST柳化,-0.01,-96.67,,-1.43,,-537.76,-97.77,,08-13
151,300179,四方达,0.09,-15.42,,4.73,,4279.31,-15.77,,08-13
152,300640,德艺文创,0.11,-27.0,,7.26,,2340.65,5.24,,08-13
153,300074,华平股份,-0.02,-248.99,,-0.99,,-1181.55,-246.52,,08-13
154,000798,中水渔业,-0.13,-5.21,,-5.79,,-4299.04,-5.2,,08-13
155,600346,恒力石化,0.79,38.6,,14.26,,551686.0,37.2,,08-13
156,600785,新华百货,0.23,-69.22,,2.13,,5106.5,-69.21,,08-13
157,002832,比音勒芬,0.31,-44.64,,8.01,,16127.73,-7.25,,08-13
158,002926,华西证券,0.35,9.37,,4.59,,92264.74,8.17,,08-13
159,000502,绿景控股,-0.01,118.0,,-1.03,,-202.35,119.48,,08-13
160,000902,新洋丰,0.39,-18.75,,7.51,,50342.03,-20.15,,08-13
161,002050,三花智控,0.18,-28.0,,6.74,,64348.17,-7.14,10派1,08-13
162,600681,百川能源,0.24,-33.33,,7.33,,33063.13,-35.67,,08-13
163,600719,大连热电,0.03,-31.71,,1.55,,1149.11,-30.07,,08-12
164,002945,华林证券,0.11,57.14,,5.2,,28460.7,55.74,,08-12
165,300363,博腾股份,0.25,108.33,,4.21,,13094.47,100.49,,08-12
166,000895,双汇发展,0.92,26.92,,17.42,,304093.32,27.68,,08-12
167,002046,轴研科技,0.04,-28.71,,0.86,,2317.39,-28.36,,08-12
168,601666,平煤股份,0.31,21.78,,4.67,,70728.91,18.79,,08-12
169,300059,东方财富,0.22,67.09,,7.87,,180850.67,107.69,,08-12
170,688598,金博股份,1.16,44.29,,16.3,,7351.65,57.33,10派2.5,08-12
171,000400,许继电气,0.35,104.18,,4.13,,35434.24,104.2,,08-12
172,601138,工业富联,0.25,-10.71,,5.51,,504089.0,-7.98,,08-12
173,603326,我乐家居,0.15,-25.24,,4.86,,4735.76,3.8,,08-12
174,603530,神马电力,0.16,0.0,,7.14,,6473.33,9.83,,08-12
175,688528,秦川物联,0.22,69.23,,8.95,,2733.91,64.26,,08-12
176,300708,聚灿光电,0.05,66.67,,1.84,,1367.83,76.02,,08-12
177,000875,吉电股份,0.22,125.18,,4.19,,46301.99,120.86,,08-12
178,002034,旺能环境,0.55,10.0,,5.41,,22940.8,11.07,,08-12
179,300379,东方通,-0.16,-199.69,,-2.61,,-4398.21,-198.71,,08-12
180,600367,红星发展,-0.02,-113.33,,-0.49,,-657.08,-115.24,,08-12
